name,poi
BELDEN TIMOTHY N,0.25925294612794614
BOWEN JR RAYMOND M,0.38244466644466646
HANNON KEVIN P,0.31199416786916795
DELAINEY DAVID W,0.14132215007215007
CAUSEY RICHARD A,0.3231455942205942
HICKERSON GARY J,0.4187775974025974
FREVERT MARK A,0.6238116883116883
CHAN RONNIE,0.5051259194509194
DONAHUE JR JEFFREY M,0.2889034992784993
REYNOLDS LAWRENCE,0.04374869019869019
HORTON STANLEY C,0.320722619047619
LEWIS RICHARD,0.35314391534391537
SHERRICK JEFFREY B,0.2376859066859067
MEYER JEROME J,0.6022886178636179
DERRICK JR. JAMES V,0.35519922577422575
PIRO JIM,0.4101511904761905
DETMERING TIMOTHY J,0.01033216228216228
KISHKILL JOSEPH G,0.3202148083398083
BAY FRANKLIN R,0.3783866772116773
PRENTICE JAMES,0.22717566137566136
TOTAL,0.7254409932659932
FALLON JAMES B,0.17568193843193844
METTS MARK,0.42007332389832386
WODRASKA JOHN,0.7058738936988936
MORDAUNT KRISTINA M,0.43226380008880005
CARTER REBECCA C,0.5601495125245125
BHATNAGAR SANJAY,0.378146620971621
WALTERS GARETH W,0.30973121693121686
BIBI PHILIPPE A,0.12989550264550265
SHERRIFF JOHN R,0.1651097883597884
GIBBS DANA R,0.28101626984126993
LINDHOLM TOD A,0.13788771783771783
MCMAHON JEFFREY,0.21473352573352572
